,precision,recall,f1-score,support
BENIGN,0.9996740786850397,0.9993073044162278,0.9994906579026555,681396.0
Bot,0.903921568627451,0.7853492333901193,0.8404740200546946,587.0
Brute Force,0.7196969696969697,0.8407079646017699,0.7755102040816326,452.0
DDoS,0.9998958414707184,0.9997656738179546,0.999830753407715,38408.0
DoS GoldenEye,0.9970798182998053,0.9951424870466321,0.9961102106969206,3088.0
DoS Hulk,0.998191263077168,0.9992322957254806,0.9987115081146034,69037.0
DoS Slowhttptest,0.9897094430992736,0.990909090909091,0.9903089036947305,1650.0
DoS slowloris,0.9919724770642202,0.9948246118458884,0.9933964972724663,1739.0
FTP-Patator,1.0,0.9987394957983193,0.9993693504309439,2380.0
PortScan,0.9939269987687043,0.9996851451480867,0.9967977563364658,47641.0
SSH-Patator,1.0,0.9960429621254946,0.9980175587652224,1769.0
XSS,0.3805309734513274,0.2193877551020408,0.2783171521035599,196.0
accuracy,0.9988813486997594,0.9988813486997594,0.9988813486997594,0.9988813486997594
macro avg,0.9145499526867232,0.9015911683272587,0.9055278810718009,848343.0
weighted avg,0.9988392155481911,0.9988813486997594,0.9988493685623038,848343.0
