,precision,recall,f1-score,support
benign,0.9997071026506109,0.9993109733547012,0.9995089987537816,454264.0
botnet,0.9146341463414634,0.7672634271099744,0.8344923504867872,391.0
brute_force,1.0,0.9981929887965305,0.9990956773376741,2767.0
ddos,0.9999609390258193,0.9998047256395235,0.999882826231301,25605.0
dos,0.9981945877311325,0.9994040879566176,0.9987989716815389,50343.0
probe,0.9937402190923318,0.9996536632977551,0.9966881700177364,31761.0
web_attack,0.9884526558891455,0.9930394431554525,0.9907407407407407,431.0
accuracy,0.9991901860450313,0.9991901860450313,0.9991901860450313,0.9991901860450313
macro avg,0.984955664390072,0.9652384727586505,0.9741725336070799,565562.0
weighted avg,0.9991829107982516,0.9991901860450313,0.9991815197667634,565562.0
